时间,来源,列,行,地图名,热度,热度_值,评分,评分_值,评论数,评论数_值,标签,入口按钮,卡片状态
2026-09-20 17:03:16,lobby_real.png,1,1,别扶我！我还能跳,77.0万,770000.0,,,,,休闲冒险闯关角色扮演,下载,可进入
2026-09-20 17:03:16,lobby_real.png,2,1,九转刷宝,73.3万,733000.0,75,,,,射击冒险闯关角色扮演1,下载,下载中
2026-09-20 17:03:16,lobby_real.png,3,1,一刀9999修仙,103万,1030000.0,4.1,4.1,,,射击角色扮演,维护中,可进入
2026-09-20 17:03:16,lobby_real.png,1,2,从买习生到CEO牛,51.2万,512000.0,2.4,2.4,,,射击冒险闯关肉鸽,下载,可进入
2026-09-20 17:03:16,lobby_real.png,2,2,一发入魂,192万,1920000.0,,,,,休闲模拟经营爽快手感,下载,可进入
2026-09-20 17:03:16,lobby_real.png,3,2,诸界残响神墟,111万,1110000.0,3.6,3.6,,,,下载,可进入
